productId,cloverItemId,nameFr,hadImage,tier,method,imageFile,imagePath,action,imageUrl
b51f4d9d-33ec-426a-97d7-8e1dec1e1b41,6NATHTJHFWBBM,Z179M Combo Repti Rock Dishes XL,true,none,existing-image,,,skip_existing,https://fdz83n9nk6ltlfo9.public.blob.vercel-storage.com/products/6NATHTJHFWBBM.jpg
5e4c1cb9-7827-4182-a943-203f8ea5f6b4,8XX88TT21DSK6,Z180 Zoomed Eco Earth (1 brick),true,none,existing-image,,,skip_existing,https://fdz83n9nk6ltlfo9.public.blob.vercel-storage.com/products/8XX88TT21DSK6.jpg
372109fa-4094-4d77-94f4-d71e6bee8882,QSZJT8N60GX64,Z181,false,high,zlookup:Z181,WD-50-gray-097612920505.jpg,Terrarium Accessories jpg/WD-50-gray-097612920505.jpg,uploaded,https://fdz83n9nk6ltlfo9.public.blob.vercel-storage.com/products/QSZJT8N60GX64.jpg
5b00ae97-de40-4d4f-a2e1-1cd1720b69ef,5JWFTD6AYRSKY,Z182K Cavern Kit with Excavator,true,none,existing-image,,,skip_existing,https://fdz83n9nk6ltlfo9.public.blob.vercel-storage.com/products/5JWFTD6AYRSKY.jpg
3203de37-6fdb-4db8-b6a2-8440888ad842,2WZKH6XDWSYEW,Z1832 Zoomed Coconut Chips (Jumbo Brick 5kg),false,low,category:Substrat,CM--Forest-Floor-Sample.jpg,Cage Substrates jpg/CM--Forest-Floor-Sample.jpg,uploaded,https://fdz83n9nk6ltlfo9.public.blob.vercel-storage.com/products/2WZKH6XDWSYEW.jpg
c7a1df1d-33e7-48dc-8bd4-55d3ac156c78,0PR0R6CNJME0E,Z184 Zoomed Reptisand - Desert White 10lbs,true,none,existing-image,,,skip_existing,https://fdz83n9nk6ltlfo9.public.blob.vercel-storage.com/products/0PR0R6CNJME0E.jpg
2477f0a4-0de4-4ed0-aeb7-d89a8c602179,QYEXPZ08Z14RY,Z1842 Zoomed Reptisand - Desert White 20lbs,true,none,existing-image,,,skip_existing,https://fdz83n9nk6ltlfo9.public.blob.vercel-storage.com/products/QYEXPZ08Z14RY.jpg
6e9ee42b-665c-4730-b2c8-2c9565ce03a2,G8C7M0WTXPKV4,Z185 Eco Carpet (8x16) 5gal. green,true,none,existing-image,,,skip_existing,https://fdz83n9nk6ltlfo9.public.blob.vercel-storage.com/products/G8C7M0WTXPKV4.jpg
25e12e26-4ff1-4cbd-8f82-38fbf3dbc7d8,MZFZ72V8TCKCG,Z185B Eco Carpet Green 15/20 Gal 12x24,true,none,existing-image,,,skip_existing,https://fdz83n9nk6ltlfo9.public.blob.vercel-storage.com/products/MZFZ72V8TCKCG.jpg
1fa3c5ee-b60b-43dd-89d9-9040b729489f,AF6530KANPE4E,Z185G  Eco Carpet Green (16 X 16) ReptiBreeze,true,none,existing-image,,,skip_existing,https://fdz83n9nk6ltlfo9.public.blob.vercel-storage.com/products/AF6530KANPE4E.jpg
c7adc8e5-5568-46d2-8580-5dffa78779ea,7FHZ5W40C5CA4,Z185H Zoomed Eco Carpet (18x36) Breeder 40 Gal Green / Vert,true,none,existing-image,,,skip_existing,https://fdz83n9nk6ltlfo9.public.blob.vercel-storage.com/products/7FHZ5W40C5CA4.jpg
4efb0397-6032-429e-a12d-36fab5b3425e,408A0E988PB0Y,Z185HT Zoomed Eco Carpet (18x36) Breeder 40 Gal Tan,true,none,existing-image,,,skip_existing,https://fdz83n9nk6ltlfo9.public.blob.vercel-storage.com/products/408A0E988PB0Y.jpg
e4199812-a7f2-4dc0-99e5-5281ec8d99aa,7TJVH0MHAY7R6,Z185T Eco Carpet (8x16) 5gal. Tan,true,none,existing-image,,,skip_existing,https://fdz83n9nk6ltlfo9.public.blob.vercel-storage.com/products/7TJVH0MHAY7R6.jpg
5737c62d-c6c9-4928-9f88-d29dd38e931c,NYQ34H071SNN8,Z187,false,high,zlookup:Z187,EE-08_097612790085-Eco_Earth.jpg,Cage Substrates jpg/EE-08_097612790085-Eco_Earth.jpg,uploaded,https://fdz83n9nk6ltlfo9.public.blob.vercel-storage.com/products/NYQ34H071SNN8.jpg
f31b9121-7781-41cf-88b4-2c4da4b5902c,NNE9GEH4F4X3C,Z188G Vita Sand Gobi Gold 10lb,true,none,existing-image,,,skip_existing,https://fdz83n9nk6ltlfo9.public.blob.vercel-storage.com/products/NNE9GEH4F4X3C.jpg
9dab0e41-4cf1-45d0-9b54-fdc9fbcd9800,JWKGW4RVY7JW6,Z188O Vita Sand OutBack Orange 10lb,true,none,existing-image,,,skip_existing,https://fdz83n9nk6ltlfo9.public.blob.vercel-storage.com/products/JWKGW4RVY7JW6.jpg
98a8ef96-6f12-4e4c-9dc0-2ca21a412b3e,3PW0K4WS3JJE4,Z188S Vita Sand Sahara Slate 10lb,true,none,existing-image,,,skip_existing,https://fdz83n9nk6ltlfo9.public.blob.vercel-storage.com/products/3PW0K4WS3JJE4.jpg
30c4ad60-4f19-4c51-9836-e4198ee7e531,VHR1XG7WJ70YJ,Z188W Vita Sand Sonoran White 10lb,true,none,existing-image,,,skip_existing,https://fdz83n9nk6ltlfo9.public.blob.vercel-storage.com/products/VHR1XG7WJ70YJ.jpg
8faaea67-a955-4d76-bb25-14a53bf923cd,PTW6Y9ANMY448,Z197B Aspen Snake Bedding 8qt,true,none,existing-image,,,skip_existing,https://fdz83n9nk6ltlfo9.public.blob.vercel-storage.com/products/PTW6Y9ANMY448.jpg
f19b92b3-4dce-46f8-abc7-36fc748f56e1,T2Y9JE15SWJEA,Z197C Zoomed  Aspen Snake Bedding 24QT,true,none,existing-image,,,skip_existing,https://fdz83n9nk6ltlfo9.public.blob.vercel-storage.com/products/T2Y9JE15SWJEA.jpg
af2bed98-2ba6-446d-a140-95e49b121e14,RZ9NZVB2QV7CJ,Z199 Zoomed Forest Floor Bed 8QT,true,none,existing-image,,,skip_existing,https://fdz83n9nk6ltlfo9.public.blob.vercel-storage.com/products/RZ9NZVB2QV7CJ.jpg
10dd430b-6744-464e-bb23-7911ac3c1014,7NZHW5RET09QP,"Z200 Substrat de cypres ""Forest Floor"" 24qt.",true,none,existing-image,,,skip_existing,https://fdz83n9nk6ltlfo9.public.blob.vercel-storage.com/products/7NZHW5RET09QP.jpg
c7a915c7-8039-445f-9e14-82171e8b705d,ZXCE5XFG597ZR,Z200A ZooMed Aquarocks Natural Aquatic Substrate 10 lbs,true,none,existing-image,,,skip_existing,https://fdz83n9nk6ltlfo9.public.blob.vercel-storage.com/products/ZXCE5XFG597ZR.jpg
9ef2feb0-20f7-4bd6-b817-0b1659727b6b,2QT9DF49QEAYM,Z200P Aquatic River Pebbles 10 LB.,true,none,existing-image,,,skip_existing,https://fdz83n9nk6ltlfo9.public.blob.vercel-storage.com/products/2QT9DF49QEAYM.jpg
27054a2a-cc19-470f-a994-7825b6d60632,99SWS1J4GX342,Z201,false,high,zlookup:Z201,RB-1-097612750010-ReptiBark1qt.jpg,Cage Substrates jpg/RB-1-097612750010-ReptiBark1qt.jpg,uploaded,https://fdz83n9nk6ltlfo9.public.blob.vercel-storage.com/products/99SWS1J4GX342.jpg
76251918-a62c-4899-bba6-b540d878b138,D5887ANP9K0DE,Z202,false,high,zlookup:Z202,RB-1-097612750010-ReptiBark1qt.jpg,Cage Substrates jpg/RB-1-097612750010-ReptiBark1qt.jpg,uploaded,https://fdz83n9nk6ltlfo9.public.blob.vercel-storage.com/products/D5887ANP9K0DE.jpg
286a8223-4aec-430a-adf1-cbb82da45c01,ZJKRC6AZC4MDP,Z203,false,high,zlookup:Z203,RB-1-097612750010-ReptiBark1qt.jpg,Cage Substrates jpg/RB-1-097612750010-ReptiBark1qt.jpg,uploaded,https://fdz83n9nk6ltlfo9.public.blob.vercel-storage.com/products/ZJKRC6AZC4MDP.jpg
c39accea-40b3-4d35-909c-f7a48cf56a58,0GR6DFN9Z0EFE,Z204 Zoomed Terrarium Moss 30-40 Gallons Xlg,true,none,existing-image,,,skip_existing,https://fdz83n9nk6ltlfo9.public.blob.vercel-storage.com/products/0GR6DFN9Z0EFE.jpg
4f96807f-fe66-45d1-a500-5a0066b32ab6,MDKTRCZNQ92AC,Z205 Terrarium moss Mini bale,true,none,existing-image,,,skip_existing,https://fdz83n9nk6ltlfo9.public.blob.vercel-storage.com/products/MDKTRCZNQ92AC.jpg
ec165664-54ba-4098-907a-e7f9fcd55f10,VGH28KD0XZVT0,Z206 Repti Bark 24Qt,true,none,existing-image,,,skip_existing,https://fdz83n9nk6ltlfo9.public.blob.vercel-storage.com/products/VGH28KD0XZVT0.jpg
b6fc24ef-8d17-4a78-bb99-596822491441,TZ4VKJEA4NTCT,Z207 ZooMed ReptiBark 4Qt,true,none,existing-image,,,skip_existing,https://fdz83n9nk6ltlfo9.public.blob.vercel-storage.com/products/TZ4VKJEA4NTCT.jpg
1d3265d6-8e44-4e13-b7b2-2e6d2e0ff513,P70NS346J0FEJ,Z208 Repti Bark 8QT,true,none,existing-image,,,skip_existing,https://fdz83n9nk6ltlfo9.public.blob.vercel-storage.com/products/P70NS346J0FEJ.jpg
28f1bb3d-773a-42ac-a400-66e8e60f238c,EC18MW3WF9FXG,Z209 Repti Soil 10 Qt.,true,none,existing-image,,,skip_existing,https://fdz83n9nk6ltlfo9.public.blob.vercel-storage.com/products/EC18MW3WF9FXG.jpg
8f0626d8-5f42-4d93-8834-7dac2582db02,AXF9SRRMAQWS2,Z209A Zoomed Repti Soil 4Qt,true,none,existing-image,,,skip_existing,https://fdz83n9nk6ltlfo9.public.blob.vercel-storage.com/products/AXF9SRRMAQWS2.jpg
6b1b5dab-7f81-4579-93bf-bd48bc5cb60a,8JE3EYH6R0VBW,Z210 Repti Soil 24 Qt.,true,none,existing-image,,,skip_existing,https://fdz83n9nk6ltlfo9.public.blob.vercel-storage.com/products/8JE3EYH6R0VBW.jpg
5566f1e6-8115-4b27-acc5-3de954cb79f0,J8ZSPJHS5146E,Z211 Repti Chips 10qt,true,none,existing-image,,,skip_existing,https://fdz83n9nk6ltlfo9.public.blob.vercel-storage.com/products/J8ZSPJHS5146E.jpg
59a4baeb-9c0f-4d08-9da7-12094b7c40a2,3EEA7M71MB1VT,Z212 Reptichips 24qt,true,none,existing-image,,,skip_existing,https://fdz83n9nk6ltlfo9.public.blob.vercel-storage.com/products/3EEA7M71MB1VT.jpg
6f3699f3-c963-4c71-9191-23d21d706935,P9RZ5PH0GK334,Z217 Tropical Bioactive Substrate Kit,true,none,existing-image,,,skip_existing,https://fdz83n9nk6ltlfo9.public.blob.vercel-storage.com/products/P9RZ5PH0GK334.jpg
df3a319d-0f87-40bb-b586-52c948b59f2d,BAB1NZYJ6SN6J,Z218 / Z865 Zoomed Terrarium Jackfruit Leaf Litter,false,low,category:Substrat,CM--Forest-Floor-Sample.jpg,Cage Substrates jpg/CM--Forest-Floor-Sample.jpg,uploaded,https://fdz83n9nk6ltlfo9.public.blob.vercel-storage.com/products/BAB1NZYJ6SN6J.jpg
50bd8314-c66c-4b33-b715-b3aad918b8f3,CTYHCQ8HY3SMP,Z218A Zoomed Tropical Bioblend 8QT,true,none,existing-image,,,skip_existing,https://fdz83n9nk6ltlfo9.public.blob.vercel-storage.com/products/CTYHCQ8HY3SMP.jpg
f58394c0-8a17-470e-a463-2ce35b286a1a,2H415TDFQYJRP,Z224 Reptisun LED/UVB 9 Watt,true,none,existing-image,,,skip_existing,https://fdz83n9nk6ltlfo9.public.blob.vercel-storage.com/products/2H415TDFQYJRP.jpg
2c45c6a4-fa21-40ff-ab3d-653b5de20f22,QG4X573WXJ36T,Z225,false,high,zlookup:Z225,RR-10-097612910100.jpg,Water Accessories jpg/RR-10-097612910100.jpg,uploaded,https://fdz83n9nk6ltlfo9.public.blob.vercel-storage.com/products/QG4X573WXJ36T.jpg
f4559c19-d330-4286-917d-5da66cc9b17d,0FXFM0GR6483R,Z226 Bearded Dragon Combo Pack (75w basking 10.0 UVB 13W),true,none,existing-image,,,skip_existing,https://fdz83n9nk6ltlfo9.public.blob.vercel-storage.com/products/0FXFM0GR6483R.jpg
d0dec7ce-50a4-4e16-a694-339536af03ca,4Q828BBVFB688,Z226B Basking/Infrared Combo Pack 75W (Night/Day 75w),true,none,existing-image,,,skip_existing,https://fdz83n9nk6ltlfo9.public.blob.vercel-storage.com/products/4Q828BBVFB688.jpg
453007da-4cde-493f-baac-cba72736c648,GP9CVMFGPJEH0,Z226H Basking Spot 100W/5.0 UVB 26w,true,none,existing-image,,,skip_existing,https://fdz83n9nk6ltlfo9.public.blob.vercel-storage.com/products/GP9CVMFGPJEH0.jpg
32d052a1-f2cc-45a0-ba36-068abd35b1b8,1Z6J9WX3NBXQ2,Z229 Reptisun 5.0 UVB 26w,true,none,existing-image,,,skip_existing,https://fdz83n9nk6ltlfo9.public.blob.vercel-storage.com/products/1Z6J9WX3NBXQ2.jpg
9a991ef2-2047-477e-b80f-4dc2a628ab01,TPSS6QTPRE8MW,Z229A Reptisun 10.0 UVB 26w,true,none,existing-image,,,skip_existing,https://fdz83n9nk6ltlfo9.public.blob.vercel-storage.com/products/TPSS6QTPRE8MW.jpg
