row_id,source,cloverItemId,siteId,name,cloverCategory,siteCategory,queueStatus,recordType,confidence,suggestedCloverCategory,suggestedSiteCategory,priceCAD,stockQty,published,hasImage,hasDescription,brand,cleanNameFr,recommendedAction,reason,notes
36,site_product_clover,ERDQF3ZDAKH9W,b4647e09-819b-4522-b912-c5cea4cf8c1e,PT2562 Tapis de Sable (petit),,terrarium,created,product,high,Habitat,terrarium,20.99,0,no,no,no,Exo Terra,Tapis de Sable (petit),enrichir luego publicar,"Patrón nombre → Clover ""Habitat"" / sitio ""terrarium""",
37,site_product_clover,TKGBHTTVB809P,3178a728-37fe-4bb1-8c9e-05560c506352,PT2563 Tapis de Sable Exo Terra (moyen),,terrarium,created,product,high,Habitat,terrarium,23.99,0,no,no,no,Exo Terra,Tapis de Sable Exo Terra (moyen),enrichir luego publicar,"Patrón nombre → Clover ""Habitat"" / sitio ""terrarium""",
38,site_product_clover,49AH9VGKX0JM8,41d53803-cb15-4b4c-8a8c-d5be60016870,PT2589 ExoTerra Vista 120 48x24x24,,terrarium,created,product,high,Habitat,terrarium,650.00,0,no,no,no,Exo Terra,ExoTerra Vista 120 48x24x24,enrichir luego publicar,"Patrón nombre → Clover ""Habitat"" / sitio ""terrarium""",
39,site_product_clover,PC5V6T70YFGGG,978474a1-ce52-4e52-add4-010f1a701dcb,"PT2595 Paludarium Naturel et mini , très haut",,terrarium,created,product,high,Habitat,terrarium,191.99,0,no,no,no,Exo Terra,"Paludarium Naturel et mini , très haut",enrichir luego publicar,"Patrón nombre → Clover ""Habitat"" / sitio ""terrarium""",
40,site_product_clover,CM153SVXXEAJ4,f2cc6aa5-5c31-46ac-98b1-57b918aa6eaf,PT2600 Terrarium 30*30*30,,terrarium,created,product,high,Habitat,terrarium,119.99,0,no,no,no,Exo Terra,Terrarium 30*30*30,enrichir luego publicar,"Patrón nombre → Clover ""Habitat"" / sitio ""terrarium""",
41,site_product_clover,55ATW5P3G04PJ,4492310b-52cf-4147-aadd-83c833d6952a,PT2601 Terrarium nano 20*20*30,,terrarium,created,product,high,Habitat,terrarium,95.99,0,no,no,no,Exo Terra,Terrarium nano 20*20*30,enrichir luego publicar,"Patrón nombre → Clover ""Habitat"" / sitio ""terrarium""",
42,site_product_clover,NDM3CFYZSCYBE,72f33576-1f62-4516-8aa3-019fefdf36c7,PT2607 ExoTerra Terrarium 18 x 18 x 24,,terrarium,created,product,high,Habitat,terrarium,259.99,0,no,no,no,Exo Terra,ExoTerra Terrarium 18 x 18 x 24,enrichir luego publicar,"Patrón nombre → Clover ""Habitat"" / sitio ""terrarium""",
43,site_product_clover,7J56HCCC2XX7Y,c91b49c1-078a-45e1-a894-f8c9186d448c,PT2614 ExoTerra Terrarium en verre (90*45*60cm),,terrarium,created,product,high,Habitat,terrarium,500.00,0,no,no,no,Exo Terra,ExoTerra Terrarium en verre (90*45*60cm),enrichir luego publicar,"Patrón nombre → Clover ""Habitat"" / sitio ""terrarium""",
44,site_product_clover,0HFMDE2X5CP0Y,efc3a3e3-a39a-4182-9564-b6c94e9173ec,PT2668 Nettoyant Vitre 250mL,,terrarium,created,product,high,Habitat,terrarium,9.99,0,no,no,no,Exo Terra,Nettoyant Vitre 250mL,enrichir luego publicar,"Patrón nombre → Clover ""Habitat"" / sitio ""terrarium""",
45,site_product_clover,74EHS92GPG06W,17e736a5-2055-4937-9b5e-f752cf7b993d,PT2754 ExoTerra Ecorce/Reptiles 27.26L,,terrarium,created,product,high,Habitat,terrarium,59.99,0,no,no,no,Exo Terra,ExoTerra Ecorce/Reptiles 27.26L,enrichir luego publicar,"Patrón nombre → Clover ""Habitat"" / sitio ""terrarium""",
46,site_product_clover,950C55JAK2G64,fb5c2d4f-8210-42aa-a28b-ded6ec0ea1e1,PT2770,,terrarium,created,product,high,Habitat,terrarium,6.99,0,no,no,no,Exo Terra,PT2770,enrichir luego publicar,"Patrón nombre → Clover ""Habitat"" / sitio ""terrarium""",
47,site_product_clover,1SS0XDAT1G4ZC,b33dcfe9-f389-46af-a5bd-f6c23d9ee726,PT2771,,terrarium,created,product,high,Habitat,terrarium,15.49,0,no,no,no,Exo Terra,PT2771,enrichir luego publicar,"Patrón nombre → Clover ""Habitat"" / sitio ""terrarium""",
48,site_product_clover,HESPKE2DS3PZP,e961adc5-e96d-47c4-9816-1f46c66849e8,PT2776 Substrat Tropical Coco Husk 3 x 8.8L,,terrarium,created,product,high,Habitat,terrarium,15.99,0,no,no,no,Exo Terra,Substrat Tropical Coco Husk 3 x 8.8L,enrichir luego publicar,"Patrón nombre → Clover ""Habitat"" / sitio ""terrarium""",
49,site_product_clover,Y0M573EAB016G,13a66139-98c9-41d1-b789-227bf3d6fbb0,PT2787 ExoTerra Substrat Coque de Noix de Coco 26.4L,,terrarium,created,product,high,Habitat,terrarium,37.99,0,no,no,no,Exo Terra,ExoTerra Substrat Coque de Noix de Coco 26.4L,enrichir luego publicar,"Patrón nombre → Clover ""Habitat"" / sitio ""terrarium""",
50,site_product_clover,GDV72WND3DQ58,440f16e3-7c9c-4b98-9dc6-3872c3f19c91,PT2801 Bol Eau Exo Terra Petit,,terrarium,created,product,high,Habitat,terrarium,12.99,0,no,no,no,Exo Terra,Bol Eau Exo Terra Petit,enrichir luego publicar,"Patrón nombre → Clover ""Habitat"" / sitio ""terrarium""",
51,site_product_clover,4SD6JC22VZRKC,8737b31a-fb5b-4e1d-8f22-93d01dd3b5f7,PT2802 Bol Eau Exo Terra Moyen,,terrarium,created,product,high,Habitat,terrarium,13.99,0,no,no,no,Exo Terra,Bol Eau Exo Terra Moyen,enrichir luego publicar,"Patrón nombre → Clover ""Habitat"" / sitio ""terrarium""",
52,site_product_clover,4JPHDCNBH89T4,c8aff253-3024-4b04-aed3-7c3c2253e109,PT2803 Bol Eau Exo Terra Grand,,terrarium,created,product,high,Habitat,terrarium,19.99,0,no,no,no,Exo Terra,Bol Eau Exo Terra Grand,enrichir luego publicar,"Patrón nombre → Clover ""Habitat"" / sitio ""terrarium""",
53,site_product_clover,AKZRX19ETTQYY,442ba4e7-6871-4fca-9d3e-515ba1475eee,PT2804 Bol Eau Exo Terra Grand,,terrarium,created,product,high,Habitat,terrarium,26.99,0,no,no,no,Exo Terra,Bol Eau Exo Terra Grand,enrichir luego publicar,"Patrón nombre → Clover ""Habitat"" / sitio ""terrarium""",
54,site_product_clover,7AQS6CMRMK2N4,7d67725d-4099-4cfb-82c3-265dba7b3683,PT2808 Distr. de Petits Vers de Farine ExoTerra,,terrarium,created,product,high,Habitat,terrarium,16.99,0,no,no,no,Exo Terra,Distr. de Petits Vers de Farine ExoTerra,enrichir luego publicar,"Patrón nombre → Clover ""Habitat"" / sitio ""terrarium""",
55,site_product_clover,A6QMPTYJ1CQ3W,5376f6c8-3899-41aa-8d32-66dc8cea8c6b,PT2809 Bol Eau X-Small,,terrarium,created,product,high,Habitat,terrarium,9.49,0,no,no,no,Exo Terra,Bol Eau X-Small,enrichir luego publicar,"Patrón nombre → Clover ""Habitat"" / sitio ""terrarium""",
56,site_product_clover,Z1BPSGW33Y7J0,af1529ca-7407-44dc-b5c7-599789e79504,PT2811 Bol Nourriture Exo Petit,,terrarium,created,product,high,Habitat,terrarium,12.99,0,no,no,no,Exo Terra,Bol Nourriture Exo Petit,enrichir luego publicar,"Patrón nombre → Clover ""Habitat"" / sitio ""terrarium""",
57,site_product_clover,1WZ27T69MK6CT,33b584f5-3f06-4b89-9ba2-1effb57fb1a1,PT2812 Bol Nourriture Exo Moyen,,terrarium,created,product,high,Habitat,terrarium,18.99,0,no,no,no,Exo Terra,Bol Nourriture Exo Moyen,enrichir luego publicar,"Patrón nombre → Clover ""Habitat"" / sitio ""terrarium""",
